Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   1.00 (m/s/s),   X:  0.97 (m),   Y:  2.08 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.17 (rads/m)
Time: 0.46 (s),   Velocity: 0.46 (m/s),   Accel:   1.00 (m/s/s),   X:  1.07 (m),   Y:  2.08 (m),   Rot:  0.0178 (rads),   Rot:    1.02 (deg),   Curve:    0.16 (rads/m)
Time: 0.65 (s),   Velocity: 0.65 (m/s),   Accel:   1.00 (m/s/s),   X:  1.18 (m),   Y:  2.08 (m),   Rot:  0.0343 (rads),   Rot:    1.96 (deg),   Curve:    0.15 (rads/m)
Time: 0.80 (s),   Velocity: 0.80 (m/s),   Accel:   1.00 (m/s/s),   X:  1.28 (m),   Y:  2.09 (m),   Rot:  0.0495 (rads),   Rot:    2.84 (deg),   Curve:    0.14 (rads/m)
Time: 0.92 (s),   Velocity: 0.92 (m/s),   Accel:   1.00 (m/s/s),   X:  1.39 (m),   Y:  2.09 (m),   Rot:  0.0636 (rads),   Rot:    3.64 (deg),   Curve:    0.13 (rads/m)
Time: 1.03 (s),   Velocity: 1.03 (m/s),   Accel:   1.00 (m/s/s),   X:  1.49 (m),   Y:  2.10 (m),   Rot:  0.0764 (rads),   Rot:    4.38 (deg),   Curve:    0.12 (rads/m)
Time: 1.13 (s),   Velocity: 1.13 (m/s),   Accel:   1.00 (m/s/s),   X:  1.60 (m),   Y:  2.11 (m),   Rot:  0.0880 (rads),   Rot:    5.04 (deg),   Curve:    0.11 (rads/m)
Time: 1.22 (s),   Velocity: 1.22 (m/s),   Accel:   1.00 (m/s/s),   X:  1.70 (m),   Y:  2.12 (m),   Rot:  0.0985 (rads),   Rot:    5.64 (deg),   Curve:    0.09 (rads/m)
Time: 1.30 (s),   Velocity: 1.30 (m/s),   Accel:   1.00 (m/s/s),   X:  1.81 (m),   Y:  2.13 (m),   Rot:  0.1077 (rads),   Rot:    6.17 (deg),   Curve:    0.08 (rads/m)
Time: 1.37 (s),   Velocity: 1.37 (m/s),   Accel:   1.00 (m/s/s),   X:  1.91 (m),   Y:  2.14 (m),   Rot:  0.1157 (rads),   Rot:    6.63 (deg),   Curve:    0.07 (rads/m)
Time: 1.45 (s),   Velocity: 1.45 (m/s),   Accel:   1.00 (m/s/s),   X:  2.01 (m),   Y:  2.15 (m),   Rot:  0.1226 (rads),   Rot:    7.02 (deg),   Curve:    0.06 (rads/m)
Time: 1.51 (s),   Velocity: 1.51 (m/s),   Accel:   1.00 (m/s/s),   X:  2.11 (m),   Y:  2.17 (m),   Rot:  0.1282 (rads),   Rot:    7.34 (deg),   Curve:    0.05 (rads/m)
Time: 1.58 (s),   Velocity: 1.58 (m/s),   Accel:   1.00 (m/s/s),   X:  2.21 (m),   Y:  2.18 (m),   Rot:  0.1325 (rads),   Rot:    7.59 (deg),   Curve:    0.04 (rads/m)
Time: 1.64 (s),   Velocity: 1.64 (m/s),   Accel:   1.00 (m/s/s),   X:  2.30 (m),   Y:  2.19 (m),   Rot:  0.1356 (rads),   Rot:    7.77 (deg),   Curve:    0.02 (rads/m)
Time: 1.70 (s),   Velocity: 1.70 (m/s),   Accel:   1.00 (m/s/s),   X:  2.40 (m),   Y:  2.21 (m),   Rot:  0.1374 (rads),   Rot:    7.87 (deg),   Curve:    0.01 (rads/m)
Time: 1.75 (s),   Velocity: 1.75 (m/s),   Accel:   1.00 (m/s/s),   X:  2.49 (m),   Y:  2.22 (m),   Rot:  0.1378 (rads),   Rot:    7.89 (deg),   Curve:   -0.00 (rads/m)
Time: 1.81 (s),   Velocity: 1.81 (m/s),   Accel:   1.00 (m/s/s),   X:  2.59 (m),   Y:  2.23 (m),   Rot:  0.1367 (rads),   Rot:    7.83 (deg),   Curve:   -0.02 (rads/m)
Time: 1.86 (s),   Velocity: 1.86 (m/s),   Accel:   1.00 (m/s/s),   X:  2.68 (m),   Y:  2.24 (m),   Rot:  0.1342 (rads),   Rot:    7.69 (deg),   Curve:   -0.04 (rads/m)
Time: 1.90 (s),   Velocity: 1.90 (m/s),   Accel:   1.00 (m/s/s),   X:  2.77 (m),   Y:  2.26 (m),   Rot:  0.1301 (rads),   Rot:    7.45 (deg),   Curve:   -0.06 (rads/m)
Time: 1.95 (s),   Velocity: 1.95 (m/s),   Accel:   1.00 (m/s/s),   X:  2.86 (m),   Y:  2.27 (m),   Rot:  0.1242 (rads),   Rot:    7.12 (deg),   Curve:   -0.08 (rads/m)
Time: 1.99 (s),   Velocity: 1.99 (m/s),   Accel:   1.00 (m/s/s),   X:  2.94 (m),   Y:  2.28 (m),   Rot:  0.1165 (rads),   Rot:    6.68 (deg),   Curve:   -0.10 (rads/m)
Time: 2.04 (s),   Velocity: 2.04 (m/s),   Accel:   1.00 (m/s/s),   X:  3.03 (m),   Y:  2.29 (m),   Rot:  0.1069 (rads),   Rot:    6.12 (deg),   Curve:   -0.13 (rads/m)
Time: 2.08 (s),   Velocity: 2.08 (m/s),   Accel:   1.00 (m/s/s),   X:  3.11 (m),   Y:  2.30 (m),   Rot:  0.0951 (rads),   Rot:    5.45 (deg),   Curve:   -0.16 (rads/m)
Time: 2.12 (s),   Velocity: 2.12 (m/s),   Accel:   1.00 (m/s/s),   X:  3.19 (m),   Y:  2.30 (m),   Rot:  0.0809 (rads),   Rot:    4.63 (deg),   Curve:   -0.19 (rads/m)
Time: 2.15 (s),   Velocity: 2.15 (m/s),   Accel:   1.00 (m/s/s),   X:  3.27 (m),   Y:  2.31 (m),   Rot:  0.0640 (rads),   Rot:    3.67 (deg),   Curve:   -0.24 (rads/m)
Time: 2.19 (s),   Velocity: 2.19 (m/s),   Accel:   1.00 (m/s/s),   X:  3.34 (m),   Y:  2.31 (m),   Rot:  0.0443 (rads),   Rot:    2.54 (deg),   Curve:   -0.28 (rads/m)
Time: 2.22 (s),   Velocity: 2.22 (m/s),   Accel:   1.00 (m/s/s),   X:  3.42 (m),   Y:  2.32 (m),   Rot:  0.0213 (rads),   Rot:    1.22 (deg),   Curve:   -0.34 (rads/m)
Time: 2.25 (s),   Velocity: 2.25 (m/s),   Accel:   1.00 (m/s/s),   X:  3.49 (m),   Y:  2.32 (m),   Rot: -0.0053 (rads),   Rot:   -0.30 (deg),   Curve:   -0.41 (rads/m)
Time: 2.28 (s),   Velocity: 2.28 (m/s),   Accel:   1.00 (m/s/s),   X:  3.56 (m),   Y:  2.31 (m),   Rot: -0.0359 (rads),   Rot:   -2.06 (deg),   Curve:   -0.48 (rads/m)
Time: 2.31 (s),   Velocity: 2.31 (m/s),   Accel:   1.00 (m/s/s),   X:  3.63 (m),   Y:  2.31 (m),   Rot: -0.0711 (rads),   Rot:   -4.08 (deg),   Curve:   -0.58 (rads/m)
Time: 2.34 (s),   Velocity: 2.34 (m/s),   Accel:   1.00 (m/s/s),   X:  3.69 (m),   Y:  2.31 (m),   Rot: -0.1115 (rads),   Rot:   -6.39 (deg),   Curve:   -0.68 (rads/m)
Time: 2.37 (s),   Velocity: 2.37 (m/s),   Accel:   1.00 (m/s/s),   X:  3.75 (m),   Y:  2.30 (m),   Rot: -0.1576 (rads),   Rot:   -9.03 (deg),   Curve:   -0.81 (rads/m)
Time: 2.39 (s),   Velocity: 2.39 (m/s),   Accel:   1.00 (m/s/s),   X:  3.81 (m),   Y:  2.29 (m),   Rot: -0.2100 (rads),   Rot:  -12.03 (deg),   Curve:   -0.95 (rads/m)
Time: 2.42 (s),   Velocity: 2.42 (m/s),   Accel:   1.00 (m/s/s),   X:  3.87 (m),   Y:  2.27 (m),   Rot: -0.2666 (rads),   Rot:  -15.28 (deg),   Curve:   -1.02 (rads/m)
