Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   3.00 (m/s/s),   X:  0.38 (m),   Y:  0.76 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:   -0.12 (rads/m)
Time: 0.23 (s),   Velocity: 0.69 (m/s),   Accel:   3.00 (m/s/s),   X:  0.46 (m),   Y:  0.76 (m),   Rot: -0.0089 (rads),   Rot:   -0.51 (deg),   Curve:   -0.11 (rads/m)
Time: 0.32 (s),   Velocity: 0.97 (m/s),   Accel:   3.00 (m/s/s),   X:  0.54 (m),   Y:  0.76 (m),   Rot: -0.0174 (rads),   Rot:   -1.00 (deg),   Curve:   -0.10 (rads/m)
Time: 0.40 (s),   Velocity: 1.19 (m/s),   Accel:   3.00 (m/s/s),   X:  0.62 (m),   Y:  0.76 (m),   Rot: -0.0254 (rads),   Rot:   -1.45 (deg),   Curve:   -0.10 (rads/m)
Time: 0.46 (s),   Velocity: 1.37 (m/s),   Accel:   3.00 (m/s/s),   X:  0.70 (m),   Y:  0.76 (m),   Rot: -0.0330 (rads),   Rot:   -1.89 (deg),   Curve:   -0.09 (rads/m)
Time: 0.51 (s),   Velocity: 1.54 (m/s),   Accel:   3.00 (m/s/s),   X:  0.77 (m),   Y:  0.75 (m),   Rot: -0.0402 (rads),   Rot:   -2.30 (deg),   Curve:   -0.09 (rads/m)
Time: 0.56 (s),   Velocity: 1.68 (m/s),   Accel:   3.00 (m/s/s),   X:  0.85 (m),   Y:  0.75 (m),   Rot: -0.0469 (rads),   Rot:   -2.69 (deg),   Curve:   -0.08 (rads/m)
Time: 0.61 (s),   Velocity: 1.82 (m/s),   Accel:   3.00 (m/s/s),   X:  0.93 (m),   Y:  0.75 (m),   Rot: -0.0533 (rads),   Rot:   -3.05 (deg),   Curve:   -0.08 (rads/m)
Time: 0.65 (s),   Velocity: 1.94 (m/s),   Accel:   3.00 (m/s/s),   X:  1.01 (m),   Y:  0.74 (m),   Rot: -0.0592 (rads),   Rot:   -3.39 (deg),   Curve:   -0.07 (rads/m)
Time: 0.69 (s),   Velocity: 2.06 (m/s),   Accel:   3.00 (m/s/s),   X:  1.09 (m),   Y:  0.74 (m),   Rot: -0.0648 (rads),   Rot:   -3.71 (deg),   Curve:   -0.07 (rads/m)
Time: 0.72 (s),   Velocity: 2.17 (m/s),   Accel:   3.00 (m/s/s),   X:  1.17 (m),   Y:  0.73 (m),   Rot: -0.0699 (rads),   Rot:   -4.01 (deg),   Curve:   -0.06 (rads/m)
Time: 0.76 (s),   Velocity: 2.28 (m/s),   Accel:   3.00 (m/s/s),   X:  1.25 (m),   Y:  0.73 (m),   Rot: -0.0747 (rads),   Rot:   -4.28 (deg),   Curve:   -0.06 (rads/m)
Time: 0.79 (s),   Velocity: 2.38 (m/s),   Accel:   3.00 (m/s/s),   X:  1.32 (m),   Y:  0.72 (m),   Rot: -0.0790 (rads),   Rot:   -4.53 (deg),   Curve:   -0.05 (rads/m)
Time: 0.83 (s),   Velocity: 2.48 (m/s),   Accel:   3.00 (m/s/s),   X:  1.40 (m),   Y:  0.71 (m),   Rot: -0.0830 (rads),   Rot:   -4.76 (deg),   Curve:   -0.05 (rads/m)
Time: 0.86 (s),   Velocity: 2.57 (m/s),   Accel:   3.00 (m/s/s),   X:  1.48 (m),   Y:  0.71 (m),   Rot: -0.0866 (rads),   Rot:   -4.96 (deg),   Curve:   -0.04 (rads/m)
