Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,3.00,0.38,1.53,0.0000,0.00,-0.09
0.23,0.69,3.00,0.46,1.53,-0.0069,-0.40,-0.09
0.32,0.97,3.00,0.54,1.52,-0.0135,-0.78,-0.08
0.40,1.19,3.00,0.62,1.52,-0.0198,-1.13,-0.08
0.46,1.38,3.00,0.70,1.52,-0.0257,-1.47,-0.07
0.51,1.54,3.00,0.78,1.52,-0.0312,-1.79,-0.07
0.56,1.69,3.00,0.85,1.52,-0.0365,-2.09,-0.06
0.61,1.82,3.00,0.93,1.51,-0.0414,-2.37,-0.06
0.65,1.95,3.00,1.01,1.51,-0.0460,-2.64,-0.06
0.69,2.07,3.00,1.09,1.51,-0.0503,-2.88,-0.05
0.73,2.18,3.00,1.17,1.50,-0.0543,-3.11,-0.05
0.76,2.28,3.00,1.25,1.50,-0.0580,-3.32,-0.04
0.80,2.39,3.00,1.33,1.49,-0.0613,-3.51,-0.04
0.83,2.48,3.00,1.41,1.49,-0.0644,-3.69,-0.04
0.86,2.58,3.00,1.49,1.48,-0.0672,-3.85,-0.03
0.89,2.67,3.00,1.56,1.48,-0.0697,-3.99,-0.03
0.92,2.75,3.00,1.64,1.47,-0.0718,-4.12,-0.03
0.95,2.84,3.00,1.72,1.47,-0.0737,-4.22,-0.02
0.97,2.92,3.00,1.80,1.46,-0.0753,-4.32,-0.02
1.00,3.00,3.00,1.87,1.45,-0.0766,-4.39,-0.01
1.02,3.07,3.00,1.95,1.45,-0.0776,-4.45,-0.01
1.05,3.15,3.00,2.03,1.44,-0.0783,-4.49,-0.01
1.07,3.22,3.00,2.10,1.44,-0.0787,-4.51,-0.00
1.10,3.29,3.00,2.18,1.43,-0.0788,-4.51,0.00
1.12,3.36,3.00,2.26,1.43,-0.0785,-4.50,0.01
1.14,3.42,3.00,2.33,1.42,-0.0779,-4.47,0.01
1.16,3.49,3.00,2.40,1.41,-0.0770,-4.41,0.01
1.18,3.55,3.00,2.48,1.41,-0.0758,-4.34,0.02
1.20,3.61,3.00,2.55,1.40,-0.0742,-4.25,0.02
1.22,3.67,3.00,2.62,1.40,-0.0722,-4.14,0.03
1.24,3.73,3.00,2.70,1.39,-0.0699,-4.01,0.04
1.26,3.79,3.00,2.77,1.39,-0.0672,-3.85,0.04
1.28,3.84,3.00,2.84,1.38,-0.0641,-3.67,0.05
1.30,3.90,3.00,2.91,1.38,-0.0606,-3.47,0.05
1.32,3.95,3.00,2.98,1.37,-0.0566,-3.24,0.06
1.33,4.00,3.00,3.04,1.37,-0.0522,-2.99,0.07
1.35,4.05,3.00,3.11,1.37,-0.0473,-2.71,0.08
1.37,4.10,3.00,3.18,1.36,-0.0420,-2.40,0.08
1.38,4.15,0.01,3.24,1.36,-0.0361,-2.07,0.09
1.40,4.15,-3.00,3.31,1.36,-0.0296,-1.70,0.10
1.41,4.10,-3.00,3.37,1.36,-0.0226,-1.29,0.12
1.45,4.01,-3.00,3.50,1.36,-0.0066,-0.38,0.14
1.48,3.92,-3.00,3.62,1.36,0.0121,0.70,0.17
1.51,3.83,-3.00,3.74,1.36,0.0341,1.95,0.21
1.54,3.74,-3.00,3.85,1.36,0.0597,3.42,0.25
1.57,3.65,-3.00,3.96,1.37,0.0894,5.12,0.30
1.59,3.56,-3.00,4.06,1.38,0.1241,7.11,0.37
1.62,3.48,-3.00,4.16,1.40,0.1644,9.42,0.45
1.65,3.39,-3.00,4.26,1.41,0.2114,12.11,0.55
1.68,3.31,-3.00,4.34,1.44,0.2661,15.24,0.67
1.70,3.23,-3.00,4.43,1.46,0.3297,18.89,0.82
1.73,3.16,-3.00,4.50,1.49,0.4035,23.12,1.00
1.75,3.08,-3.00,4.57,1.52,0.4887,28.00,1.20
1.77,3.05,-2.70,4.60,1.54,0.5346,30.63,1.24
1.78,3.01,-2.00,4.64,1.56,0.5807,33.27,1.27
1.79,2.99,-1.26,4.67,1.58,0.6270,35.93,1.29
1.80,2.97,-0.51,4.69,1.60,0.6732,38.57,1.31
1.81,2.97,0.24,4.72,1.63,0.7190,41.19,1.31
1.83,2.97,0.99,4.75,1.65,0.7642,43.78,1.31
1.84,2.98,1.71,4.77,1.67,0.8086,46.33,1.29
1.85,3.00,2.74,4.79,1.70,0.8519,48.81,1.27
1.87,3.06,-0.42,4.84,1.75,0.9349,53.57,1.20
1.89,3.05,-3.00,4.87,1.81,1.0121,57.99,1.12
1.91,2.99,-3.00,4.91,1.86,1.0828,62.04,1.02
1.94,2.92,-3.00,4.93,1.92,1.1465,65.69,0.91
1.96,2.85,-3.00,4.96,1.98,1.2033,68.95,0.81
1.98,2.78,-3.00,4.98,2.05,1.2533,71.81,0.70
2.01,2.71,-3.00,5.00,2.11,1.2968,74.30,0.61
2.03,2.63,-3.00,5.02,2.17,1.3339,76.43,0.52
2.06,2.56,-3.00,5.03,2.24,1.3651,78.21,0.43
2.08,2.48,-3.00,5.05,2.30,1.3904,79.67,0.35
2.11,2.40,-3.00,5.06,2.37,1.4101,80.79,0.26
2.14,2.32,-3.00,5.07,2.43,1.4242,81.60,0.18
2.19,2.15,-3.00,5.08,2.55,1.4348,82.21,-0.01
2.25,1.98,-3.00,5.10,2.67,1.4193,81.32,-0.27
2.30,1.82,-3.00,5.12,2.77,1.3698,78.49,-0.70
2.33,1.73,-3.00,5.13,2.82,1.3280,76.09,-1.03
2.36,1.65,-3.00,5.14,2.86,1.2711,72.83,-1.48
2.39,1.57,-3.00,5.15,2.90,1.1949,68.46,-2.12
2.40,1.53,-3.00,5.16,2.92,1.1481,65.78,-2.52
2.41,1.49,-3.00,5.17,2.94,1.0945,62.71,-3.00
2.42,1.46,-3.00,5.18,2.96,1.0335,59.22,-3.53
2.44,1.42,-3.00,5.19,2.97,0.9645,55.26,-4.12
2.45,1.38,-3.00,5.20,2.99,0.8872,50.83,-4.75
2.46,1.34,-3.00,5.21,3.00,0.8015,45.92,-5.37
2.47,1.33,-3.00,5.22,3.00,0.7556,43.30,-5.66
2.47,1.31,-3.00,5.22,3.01,0.7080,40.56,-5.92
2.48,1.29,-3.00,5.23,3.01,0.6586,37.74,-6.15
2.49,1.27,-2.52,5.24,3.02,0.6079,34.83,-6.33
2.49,1.25,-1.06,5.24,3.02,0.5560,31.85,-6.46
2.50,1.25,0.40,5.25,3.03,0.5032,28.83,-6.54
2.51,1.25,1.90,5.26,3.03,0.4498,25.77,-6.55
2.51,1.26,3.00,5.26,3.04,0.3964,22.71,-6.49
2.52,1.28,3.00,5.27,3.04,0.3430,19.65,-6.38
2.53,1.30,3.00,5.28,3.04,0.2903,16.63,-6.21
2.53,1.32,3.00,5.29,3.04,0.2383,13.65,-5.98
2.54,1.34,3.00,5.30,3.04,0.1875,10.75,-5.72
2.55,1.36,3.00,5.31,3.05,0.1382,7.92,-5.42
2.55,1.38,3.00,5.32,3.05,0.0904,5.18,-5.10
2.56,1.40,3.00,5.32,3.05,0.0444,2.55,-4.77
2.57,1.42,3.00,5.33,3.05,0.0003,0.02,-4.44
2.58,1.46,3.00,5.35,3.05,-0.0799,-4.58,-3.61
2.59,1.50,3.00,5.38,3.04,-0.1491,-8.55,-2.93
2.61,1.55,3.00,5.40,3.04,-0.2089,-11.97,-2.39
2.62,1.59,3.00,5.42,3.04,-0.2607,-14.94,-1.96
2.66,1.69,3.00,5.47,3.02,-0.3448,-19.76,-1.34
2.69,1.79,3.00,5.52,3.00,-0.4094,-23.45,-0.94
2.72,1.89,3.00,5.58,2.97,-0.4598,-26.34,-0.68
2.76,2.00,3.00,5.64,2.94,-0.4998,-28.64,-0.51
2.79,2.10,3.00,5.70,2.90,-0.5321,-30.49,-0.38
2.83,2.21,3.00,5.77,2.86,-0.5583,-31.99,-0.30
2.87,2.32,3.00,5.84,2.82,-0.5799,-33.22,-0.23
2.90,2.43,3.00,5.91,2.77,-0.5976,-34.24,-0.18
2.94,2.54,3.00,5.99,2.72,-0.6123,-35.08,-0.15
2.97,2.64,3.00,6.06,2.67,-0.6244,-35.77,-0.12
3.01,2.75,3.00,6.14,2.61,-0.6343,-36.34,-0.09
3.05,2.86,3.00,6.22,2.55,-0.6423,-36.80,-0.07
3.08,2.96,3.00,6.30,2.49,-0.6486,-37.16,-0.05
3.11,3.06,3.00,6.38,2.43,-0.6535,-37.44,-0.04
3.15,3.16,3.00,6.46,2.37,-0.6569,-37.64,-0.03
3.18,3.26,3.00,6.54,2.30,-0.6591,-37.76,-0.01
3.21,3.35,3.00,6.63,2.24,-0.6600,-37.81,-0.00
3.24,3.45,3.00,6.71,2.17,-0.6596,-37.79,0.01
3.27,3.54,3.00,6.79,2.11,-0.6580,-37.70,0.02
3.30,3.62,1.44,6.87,2.05,-0.6552,-37.54,0.03
3.33,3.66,-3.00,6.96,1.98,-0.6510,-37.30,0.05
3.36,3.58,-3.00,7.04,1.92,-0.6453,-36.97,0.06
3.39,3.50,-3.00,7.12,1.86,-0.6380,-36.56,0.08
3.41,3.41,-3.00,7.19,1.81,-0.6290,-36.04,0.10
3.44,3.33,-3.00,7.27,1.75,-0.6179,-35.40,0.13
3.47,3.25,-3.00,7.35,1.70,-0.6043,-34.63,0.17
3.50,3.16,-3.00,7.42,1.65,-0.5880,-33.69,0.21
3.52,3.08,-3.00,7.49,1.60,-0.5681,-32.55,0.27
3.55,3.00,-3.00,7.56,1.56,-0.5440,-31.17,0.34
3.57,2.93,-3.00,7.62,1.52,-0.5144,-29.47,0.45
3.60,2.86,-3.00,7.68,1.49,-0.4801,-27.50,0.53
3.62,2.79,-3.00,7.74,1.46,-0.4425,-25.35,0.62
3.67,2.65,-3.00,7.85,1.41,-0.3574,-20.48,0.82
3.69,2.59,-3.00,7.90,1.40,-0.3099,-17.76,0.94
3.71,2.53,-3.00,7.95,1.38,-0.2593,-14.86,1.05
3.73,2.48,-3.00,8.00,1.37,-0.2060,-11.81,1.16
3.74,2.42,-3.00,8.04,1.36,-0.1507,-8.64,1.26
3.76,2.36,-3.00,8.09,1.36,-0.0942,-5.40,1.33
3.78,2.31,-3.00,8.13,1.36,-0.0374,-2.14,1.38
3.80,2.26,-3.00,8.17,1.35,0.0184,1.06,1.38
3.82,2.21,-3.00,8.21,1.36,0.0722,4.14,1.35
3.83,2.15,-3.00,8.24,1.36,0.1226,7.03,1.28
3.85,2.10,-3.00,8.28,1.37,0.1687,9.67,1.17
3.89,1.99,-3.00,8.35,1.38,0.2445,14.01,0.86
3.93,1.88,-3.00,8.43,1.40,0.2946,16.88,0.49
3.97,1.75,-3.00,8.50,1.42,0.3173,18.18,0.12
4.01,1.62,-3.00,8.57,1.45,0.3129,17.93,-0.22
4.06,1.46,-3.00,8.64,1.47,0.2836,16.25,-0.51
4.12,1.29,-3.00,8.72,1.49,0.2328,13.34,-0.72
4.19,1.07,-3.00,8.81,1.51,0.1649,9.45,-0.84
4.29,0.77,-3.00,8.90,1.52,0.0854,4.89,-0.88
4.55,0.00,-3.00,9.00,1.52,-0.0000,-0.00,-0.84
