Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   3.00 (m/s/s),   X:  0.38 (m),   Y:  1.53 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:   -0.09 (rads/m)
Time: 0.23 (s),   Velocity: 0.69 (m/s),   Accel:   3.00 (m/s/s),   X:  0.46 (m),   Y:  1.53 (m),   Rot: -0.0069 (rads),   Rot:   -0.40 (deg),   Curve:   -0.09 (rads/m)
Time: 0.32 (s),   Velocity: 0.97 (m/s),   Accel:   3.00 (m/s/s),   X:  0.54 (m),   Y:  1.52 (m),   Rot: -0.0135 (rads),   Rot:   -0.78 (deg),   Curve:   -0.08 (rads/m)
Time: 0.40 (s),   Velocity: 1.19 (m/s),   Accel:   3.00 (m/s/s),   X:  0.62 (m),   Y:  1.52 (m),   Rot: -0.0198 (rads),   Rot:   -1.13 (deg),   Curve:   -0.08 (rads/m)
Time: 0.46 (s),   Velocity: 1.38 (m/s),   Accel:   3.00 (m/s/s),   X:  0.70 (m),   Y:  1.52 (m),   Rot: -0.0257 (rads),   Rot:   -1.47 (deg),   Curve:   -0.07 (rads/m)
Time: 0.51 (s),   Velocity: 1.54 (m/s),   Accel:   3.00 (m/s/s),   X:  0.78 (m),   Y:  1.52 (m),   Rot: -0.0312 (rads),   Rot:   -1.79 (deg),   Curve:   -0.07 (rads/m)
Time: 0.56 (s),   Velocity: 1.69 (m/s),   Accel:   3.00 (m/s/s),   X:  0.85 (m),   Y:  1.52 (m),   Rot: -0.0365 (rads),   Rot:   -2.09 (deg),   Curve:   -0.06 (rads/m)
Time: 0.61 (s),   Velocity: 1.82 (m/s),   Accel:   3.00 (m/s/s),   X:  0.93 (m),   Y:  1.51 (m),   Rot: -0.0414 (rads),   Rot:   -2.37 (deg),   Curve:   -0.06 (rads/m)
Time: 0.65 (s),   Velocity: 1.95 (m/s),   Accel:   3.00 (m/s/s),   X:  1.01 (m),   Y:  1.51 (m),   Rot: -0.0460 (rads),   Rot:   -2.64 (deg),   Curve:   -0.06 (rads/m)
Time: 0.69 (s),   Velocity: 2.07 (m/s),   Accel:   3.00 (m/s/s),   X:  1.09 (m),   Y:  1.51 (m),   Rot: -0.0503 (rads),   Rot:   -2.88 (deg),   Curve:   -0.05 (rads/m)
Time: 0.73 (s),   Velocity: 2.18 (m/s),   Accel:   3.00 (m/s/s),   X:  1.17 (m),   Y:  1.50 (m),   Rot: -0.0543 (rads),   Rot:   -3.11 (deg),   Curve:   -0.05 (rads/m)
Time: 0.76 (s),   Velocity: 2.28 (m/s),   Accel:   3.00 (m/s/s),   X:  1.25 (m),   Y:  1.50 (m),   Rot: -0.0580 (rads),   Rot:   -3.32 (deg),   Curve:   -0.04 (rads/m)
Time: 0.80 (s),   Velocity: 2.39 (m/s),   Accel:   3.00 (m/s/s),   X:  1.33 (m),   Y:  1.49 (m),   Rot: -0.0613 (rads),   Rot:   -3.51 (deg),   Curve:   -0.04 (rads/m)
Time: 0.83 (s),   Velocity: 2.48 (m/s),   Accel:   3.00 (m/s/s),   X:  1.41 (m),   Y:  1.49 (m),   Rot: -0.0644 (rads),   Rot:   -3.69 (deg),   Curve:   -0.04 (rads/m)
Time: 0.86 (s),   Velocity: 2.58 (m/s),   Accel:   3.00 (m/s/s),   X:  1.49 (m),   Y:  1.48 (m),   Rot: -0.0672 (rads),   Rot:   -3.85 (deg),   Curve:   -0.03 (rads/m)
