Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,1.00,1.02,2.29,0.0000,0.00,-0.79
0.40,0.40,1.00,1.09,2.28,-0.0539,-3.09,-0.59
0.56,0.56,1.00,1.17,2.28,-0.0921,-5.28,-0.39
0.68,0.68,1.00,1.25,2.27,-0.1147,-6.57,-0.19
0.79,0.79,1.00,1.33,2.26,-0.1215,-6.96,0.02
0.88,0.88,1.00,1.40,2.25,-0.1119,-6.41,0.25
0.96,0.96,1.00,1.47,2.24,-0.0845,-4.84,0.51
1.03,1.03,1.00,1.54,2.24,-0.0373,-2.13,0.84
1.09,1.09,1.00,1.61,2.24,0.0326,1.87,1.23
1.12,1.12,1.00,1.64,2.24,0.0770,4.41,1.45
1.15,1.15,1.00,1.68,2.25,0.1280,7.33,1.69
1.18,1.18,1.00,1.71,2.25,0.1859,10.65,1.93
1.21,1.21,1.00,1.74,2.26,0.2507,14.36,2.17
1.23,1.23,1.00,1.77,2.27,0.3221,18.45,2.39
1.26,1.26,1.00,1.80,2.28,0.3994,22.89,2.57
1.28,1.28,1.00,1.83,2.29,0.4817,27.60,2.69
1.30,1.30,1.00,1.85,2.31,0.5673,32.51,2.74
1.32,1.32,1.00,1.87,2.31,0.6109,35.00,2.73
1.33,1.33,1.00,1.88,2.32,0.6547,37.51,2.70
1.34,1.34,1.00,1.89,2.33,0.6985,40.02,2.65
1.35,1.35,1.00,1.90,2.35,0.7420,42.51,2.59
1.38,1.38,1.00,1.93,2.37,0.8274,47.40,2.40
1.40,1.40,1.00,1.95,2.40,0.9092,52.10,2.18
1.43,1.43,1.00,1.97,2.43,0.9865,56.52,1.93
1.46,1.46,1.00,1.99,2.46,1.0583,60.64,1.68
1.49,1.49,1.00,2.01,2.50,1.1244,64.42,1.44
1.52,1.52,1.00,2.03,2.54,1.1847,67.88,1.23
1.55,1.55,1.00,2.05,2.59,1.2364,70.84,0.94
1.58,1.58,-0.69,2.06,2.63,1.2785,73.25,0.73
1.65,1.53,-1.00,2.09,2.74,1.3420,76.89,0.46
1.73,1.45,-1.00,2.12,2.86,1.3860,79.41,0.30
1.82,1.36,-1.00,2.14,2.98,1.4168,81.18,0.20
1.92,1.27,-1.00,2.16,3.10,1.4377,82.37,0.13
2.02,1.16,-1.00,2.17,3.23,1.4505,83.11,0.07
2.13,1.05,-1.00,2.19,3.35,1.4558,83.41,0.01
2.25,0.93,-1.00,2.20,3.47,1.4531,83.26,-0.06
2.37,0.81,-1.00,2.21,3.58,1.4405,82.53,-0.18
2.50,0.68,-1.00,2.23,3.67,1.4130,80.96,-0.43
2.63,0.55,-1.00,2.24,3.75,1.3590,77.86,-1.03
2.70,0.48,-1.00,2.25,3.78,1.3137,75.27,-1.72
2.76,0.42,-1.00,2.26,3.81,1.2460,71.39,-3.11
2.80,0.39,-1.00,2.26,3.82,1.1989,68.69,-4.34
2.83,0.36,-1.00,2.27,3.83,1.1387,65.24,-6.25
2.86,0.33,-1.00,2.27,3.84,1.0600,60.73,-9.31
2.87,0.31,-1.00,2.27,3.85,1.0113,57.95,-11.50
2.89,0.30,-1.00,2.28,3.85,0.9549,54.71,-14.32
2.90,0.28,-1.00,2.28,3.86,0.8890,50.94,-17.91
2.91,0.27,-1.00,2.28,3.86,0.8121,46.53,-22.44
2.92,0.26,-1.00,2.28,3.86,0.7689,44.05,-25.10
2.93,0.26,-1.00,2.28,3.86,0.7222,41.38,-28.01
2.93,0.25,-1.00,2.28,3.86,0.6719,38.50,-31.16
2.94,0.24,-1.00,2.29,3.86,0.6179,35.40,-34.52
2.95,0.24,-1.00,2.29,3.86,0.5600,32.09,-38.00
2.95,0.23,-1.00,2.29,3.86,0.4983,28.55,-41.50
2.96,0.22,-1.00,2.29,3.86,0.4329,24.80,-44.88
2.97,0.22,-1.00,2.29,3.87,0.3641,20.86,-47.96
2.97,0.21,-1.00,2.29,3.87,0.2923,16.75,-50.56
2.98,0.20,-0.51,2.29,3.87,0.2182,12.50,-52.47
2.99,0.20,-0.02,2.30,3.87,0.1424,8.16,-53.56
3.00,0.20,0.45,2.30,3.87,0.0658,3.77,-53.71
3.00,0.20,0.85,2.30,3.87,-0.0106,-0.61,-52.92
3.01,0.21,1.00,2.30,3.87,-0.0860,-4.93,-51.23
3.02,0.22,1.00,2.30,3.87,-0.1595,-9.14,-48.79
3.02,0.22,1.00,2.30,3.87,-0.2305,-13.21,-45.78
3.03,0.23,1.00,2.30,3.87,-0.2984,-17.10,-42.39
3.04,0.24,1.00,2.31,3.87,-0.3628,-20.79,-38.81
3.04,0.24,1.00,2.31,3.86,-0.4234,-24.26,-35.20
3.05,0.25,1.00,2.31,3.86,-0.4802,-27.52,-31.70
3.06,0.26,1.00,2.31,3.86,-0.5332,-30.55,-28.38
3.06,0.26,1.00,2.31,3.86,-0.5825,-33.37,-25.31
3.07,0.27,1.00,2.31,3.86,-0.6282,-35.99,-22.51
3.08,0.28,1.00,2.31,3.86,-0.6705,-38.42,-19.99
3.09,0.29,1.00,2.32,3.86,-0.7459,-42.73,-15.74
3.11,0.31,1.00,2.32,3.85,-0.8104,-46.43,-12.42
3.13,0.32,1.00,2.32,3.85,-0.8659,-49.61,-9.86
3.14,0.34,1.00,2.33,3.85,-0.9137,-52.35,-7.89
3.18,0.37,1.00,2.34,3.84,-0.9914,-56.80,-5.18
