Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   1.00 (m/s/s),   X:  1.02 (m),   Y:  2.29 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:   -0.79 (rads/m)
Time: 0.40 (s),   Velocity: 0.40 (m/s),   Accel:   1.00 (m/s/s),   X:  1.09 (m),   Y:  2.28 (m),   Rot: -0.0539 (rads),   Rot:   -3.09 (deg),   Curve:   -0.59 (rads/m)
Time: 0.56 (s),   Velocity: 0.56 (m/s),   Accel:   1.00 (m/s/s),   X:  1.17 (m),   Y:  2.28 (m),   Rot: -0.0921 (rads),   Rot:   -5.28 (deg),   Curve:   -0.39 (rads/m)
Time: 0.68 (s),   Velocity: 0.68 (m/s),   Accel:   1.00 (m/s/s),   X:  1.25 (m),   Y:  2.27 (m),   Rot: -0.1147 (rads),   Rot:   -6.57 (deg),   Curve:   -0.19 (rads/m)
Time: 0.79 (s),   Velocity: 0.79 (m/s),   Accel:   1.00 (m/s/s),   X:  1.33 (m),   Y:  2.26 (m),   Rot: -0.1215 (rads),   Rot:   -6.96 (deg),   Curve:    0.02 (rads/m)
Time: 0.88 (s),   Velocity: 0.88 (m/s),   Accel:   1.00 (m/s/s),   X:  1.40 (m),   Y:  2.25 (m),   Rot: -0.1119 (rads),   Rot:   -6.41 (deg),   Curve:    0.25 (rads/m)
Time: 0.96 (s),   Velocity: 0.96 (m/s),   Accel:   1.00 (m/s/s),   X:  1.47 (m),   Y:  2.24 (m),   Rot: -0.0845 (rads),   Rot:   -4.84 (deg),   Curve:    0.51 (rads/m)
Time: 1.03 (s),   Velocity: 1.03 (m/s),   Accel:   1.00 (m/s/s),   X:  1.54 (m),   Y:  2.24 (m),   Rot: -0.0373 (rads),   Rot:   -2.13 (deg),   Curve:    0.84 (rads/m)
Time: 1.09 (s),   Velocity: 1.09 (m/s),   Accel:   1.00 (m/s/s),   X:  1.61 (m),   Y:  2.24 (m),   Rot:  0.0326 (rads),   Rot:    1.87 (deg),   Curve:    1.23 (rads/m)
Time: 1.12 (s),   Velocity: 1.12 (m/s),   Accel:   1.00 (m/s/s),   X:  1.64 (m),   Y:  2.24 (m),   Rot:  0.0770 (rads),   Rot:    4.41 (deg),   Curve:    1.45 (rads/m)
Time: 1.15 (s),   Velocity: 1.15 (m/s),   Accel:   1.00 (m/s/s),   X:  1.68 (m),   Y:  2.25 (m),   Rot:  0.1280 (rads),   Rot:    7.33 (deg),   Curve:    1.69 (rads/m)
Time: 1.18 (s),   Velocity: 1.18 (m/s),   Accel:   1.00 (m/s/s),   X:  1.71 (m),   Y:  2.25 (m),   Rot:  0.1859 (rads),   Rot:   10.65 (deg),   Curve:    1.93 (rads/m)
Time: 1.21 (s),   Velocity: 1.21 (m/s),   Accel:   1.00 (m/s/s),   X:  1.74 (m),   Y:  2.26 (m),   Rot:  0.2507 (rads),   Rot:   14.36 (deg),   Curve:    2.17 (rads/m)
Time: 1.23 (s),   Velocity: 1.23 (m/s),   Accel:   1.00 (m/s/s),   X:  1.77 (m),   Y:  2.27 (m),   Rot:  0.3221 (rads),   Rot:   18.45 (deg),   Curve:    2.39 (rads/m)
Time: 1.26 (s),   Velocity: 1.26 (m/s),   Accel:   1.00 (m/s/s),   X:  1.80 (m),   Y:  2.28 (m),   Rot:  0.3994 (rads),   Rot:   22.89 (deg),   Curve:    2.57 (rads/m)
Time: 1.28 (s),   Velocity: 1.28 (m/s),   Accel:   1.00 (m/s/s),   X:  1.83 (m),   Y:  2.29 (m),   Rot:  0.4817 (rads),   Rot:   27.60 (deg),   Curve:    2.69 (rads/m)
Time: 1.30 (s),   Velocity: 1.30 (m/s),   Accel:   1.00 (m/s/s),   X:  1.85 (m),   Y:  2.31 (m),   Rot:  0.5673 (rads),   Rot:   32.51 (deg),   Curve:    2.74 (rads/m)
Time: 1.32 (s),   Velocity: 1.32 (m/s),   Accel:   1.00 (m/s/s),   X:  1.87 (m),   Y:  2.31 (m),   Rot:  0.6109 (rads),   Rot:   35.00 (deg),   Curve:    2.73 (rads/m)
Time: 1.33 (s),   Velocity: 1.33 (m/s),   Accel:   1.00 (m/s/s),   X:  1.88 (m),   Y:  2.32 (m),   Rot:  0.6547 (rads),   Rot:   37.51 (deg),   Curve:    2.70 (rads/m)
Time: 1.34 (s),   Velocity: 1.34 (m/s),   Accel:   1.00 (m/s/s),   X:  1.89 (m),   Y:  2.33 (m),   Rot:  0.6985 (rads),   Rot:   40.02 (deg),   Curve:    2.65 (rads/m)
