Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,10.00,0.00,0.00,0.0000,0.00,0.00
0.12,1.22,10.00,0.07,0.00,0.0000,0.00,0.00
0.17,1.71,10.00,0.15,0.00,0.0000,0.00,0.00
0.21,2.07,10.00,0.22,0.00,0.0000,0.00,0.00
0.24,2.36,10.00,0.28,0.00,0.0000,0.00,0.00
0.28,2.81,10.00,0.39,0.00,0.0000,0.00,0.00
0.32,3.16,10.00,0.50,0.00,0.0000,0.00,0.00
0.35,3.48,10.00,0.61,0.00,0.0000,0.00,0.00
0.38,3.80,10.00,0.72,0.00,0.0000,0.00,0.00
0.40,3.96,10.00,0.78,0.00,0.0000,0.00,0.00
0.41,4.13,10.00,0.85,0.00,0.0000,0.00,0.00
0.43,4.30,10.00,0.93,0.00,0.0000,0.00,0.00
0.45,4.47,3.02,1.00,0.00,0.0000,0.00,0.00
0.47,4.55,0.22,1.12,-0.00,-0.0013,-0.08,-0.02
0.50,4.56,-3.73,1.23,-0.00,-0.0020,-0.11,0.01
0.52,4.46,-7.33,1.35,-0.00,0.0028,0.16,0.08
0.55,4.28,-10.00,1.45,0.00,0.0175,1.00,0.20
0.57,4.04,-10.00,1.56,0.00,0.0465,2.67,0.37
0.60,3.79,-10.00,1.65,0.01,0.0935,5.36,0.59
0.62,3.53,-8.74,1.75,0.02,0.1604,9.19,0.83
0.65,3.30,-5.79,1.84,0.04,0.2461,14.10,1.04
0.66,3.22,-3.50,1.88,0.05,0.2945,16.87,1.11
0.68,3.17,-1.16,1.92,0.07,0.3452,19.78,1.15
0.69,3.15,1.11,1.96,0.08,0.3970,22.74,1.15
0.71,3.17,3.19,2.01,0.10,0.4486,25.70,1.12
0.72,3.21,5.01,2.05,0.12,0.4988,28.58,1.05
0.74,3.29,7.09,2.09,0.15,0.5465,31.31,0.97
0.76,3.49,8.71,2.17,0.20,0.6311,36.16,0.76
0.79,3.74,5.30,2.25,0.26,0.6981,40.00,0.54
0.82,3.89,-10.00,2.33,0.34,0.7462,42.75,0.34
0.85,3.59,-10.00,2.42,0.42,0.7753,44.42,0.17
0.89,3.24,-10.00,2.50,0.50,0.7854,45.00,-0.00
0.92,2.91,-10.00,2.57,0.57,0.7224,41.39,-1.18
0.94,2.74,-10.00,2.61,0.60,0.6525,37.39,-1.61
0.95,2.65,-7.83,2.63,0.62,0.6105,34.98,-1.78
0.96,2.57,-4.71,2.65,0.63,0.5649,32.36,-1.91
0.97,2.53,-1.94,2.67,0.64,0.5164,29.59,-2.00
0.98,2.51,0.58,2.69,0.65,0.4661,26.71,-2.05
0.99,2.51,2.92,2.72,0.66,0.4148,23.77,-2.06
1.00,2.54,5.12,2.74,0.67,0.3634,20.82,-2.03
1.01,2.59,7.16,2.76,0.68,0.3126,17.91,-1.97
