Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:  10.00 (m/s/s),   X:  0.00 (m),   Y:  0.00 (m),   Rot:  1.5708 (rads),   Rot:   90.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.15 (s),   Velocity: 1.45 (m/s),   Accel:  10.00 (m/s/s),   X:  0.00 (m),   Y:  0.11 (m),   Rot:  1.4951 (rads),   Rot:   85.66 (deg),   Curve:   -1.33 (rads/m)
Time: 0.18 (s),   Velocity: 1.78 (m/s),   Accel:  10.00 (m/s/s),   X:  0.01 (m),   Y:  0.16 (m),   Rot:  1.4129 (rads),   Rot:   80.95 (deg),   Curve:   -1.80 (rads/m)
Time: 0.19 (s),   Velocity: 1.92 (m/s),   Accel:  10.00 (m/s/s),   X:  0.01 (m),   Y:  0.18 (m),   Rot:  1.3637 (rads),   Rot:   78.13 (deg),   Curve:   -1.99 (rads/m)
Time: 0.20 (s),   Velocity: 2.05 (m/s),   Accel:  10.00 (m/s/s),   X:  0.02 (m),   Y:  0.21 (m),   Rot:  1.3099 (rads),   Rot:   75.05 (deg),   Curve:   -2.17 (rads/m)
Time: 0.22 (s),   Velocity: 2.17 (m/s),   Accel:  10.00 (m/s/s),   X:  0.03 (m),   Y:  0.23 (m),   Rot:  1.2523 (rads),   Rot:   71.75 (deg),   Curve:   -2.32 (rads/m)
Time: 0.23 (s),   Velocity: 2.29 (m/s),   Accel:  -2.69 (m/s/s),   X:  0.04 (m),   Y:  0.26 (m),   Rot:  1.1914 (rads),   Rot:   68.26 (deg),   Curve:   -2.45 (rads/m)
Time: 0.24 (s),   Velocity: 2.25 (m/s),   Accel:  -4.51 (m/s/s),   X:  0.05 (m),   Y:  0.28 (m),   Rot:  1.1277 (rads),   Rot:   64.61 (deg),   Curve:   -2.56 (rads/m)
Time: 0.25 (s),   Velocity: 2.20 (m/s),   Accel:  -3.35 (m/s/s),   X:  0.06 (m),   Y:  0.30 (m),   Rot:  1.0619 (rads),   Rot:   60.84 (deg),   Curve:   -2.65 (rads/m)
Time: 0.26 (s),   Velocity: 2.17 (m/s),   Accel:  -2.31 (m/s/s),   X:  0.07 (m),   Y:  0.32 (m),   Rot:  0.9942 (rads),   Rot:   56.97 (deg),   Curve:   -2.72 (rads/m)
Time: 0.27 (s),   Velocity: 2.14 (m/s),   Accel:  -1.35 (m/s/s),   X:  0.08 (m),   Y:  0.34 (m),   Rot:  0.9253 (rads),   Rot:   53.02 (deg),   Curve:   -2.77 (rads/m)
Time: 0.29 (s),   Velocity: 2.12 (m/s),   Accel:  -0.45 (m/s/s),   X:  0.10 (m),   Y:  0.36 (m),   Rot:  0.8556 (rads),   Rot:   49.02 (deg),   Curve:   -2.80 (rads/m)
Time: 0.30 (s),   Velocity: 2.12 (m/s),   Accel:   0.45 (m/s/s),   X:  0.12 (m),   Y:  0.38 (m),   Rot:  0.7854 (rads),   Rot:   45.00 (deg),   Curve:   -2.81 (rads/m)
