Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,1.00,0.00,0.00,0.0000,0.00,0.00
0.38,0.38,1.00,0.07,0.00,0.0000,0.00,0.00
0.54,0.54,1.00,0.14,0.00,0.0000,0.00,0.00
0.65,0.65,1.00,0.21,0.00,0.0000,0.00,0.00
0.75,0.75,1.00,0.28,0.00,0.0000,0.00,0.00
0.83,0.83,1.00,0.35,0.00,0.0000,0.00,0.00
0.90,0.90,1.00,0.41,0.00,0.0000,0.00,0.00
1.03,1.03,1.00,0.53,0.00,0.0000,0.00,0.00
1.14,1.14,1.00,0.65,0.00,0.0000,0.00,0.00
1.24,1.24,1.00,0.77,0.00,0.0000,0.00,0.00
1.33,1.33,1.00,0.88,0.00,0.0000,0.00,0.00
1.41,1.41,1.00,1.00,0.00,0.0000,0.00,0.00
1.50,1.50,1.00,1.12,0.00,0.0000,0.00,0.00
1.58,1.58,1.00,1.24,0.00,0.0000,0.00,0.00
1.65,1.65,1.00,1.37,0.00,0.0000,0.00,0.00
1.73,1.73,1.00,1.49,0.00,0.0000,0.00,0.00
1.80,1.80,1.00,1.62,0.00,0.0000,0.00,0.00
1.83,1.83,1.00,1.68,0.00,0.0000,0.00,0.00
1.87,1.87,1.00,1.75,0.00,0.0000,0.00,0.00
1.90,1.90,1.00,1.81,0.00,0.0000,0.00,0.00
1.94,1.94,1.00,1.87,0.00,0.0000,0.00,0.00
2.00,2.00,1.00,2.00,0.00,0.0000,0.00,0.00
2.06,2.06,1.00,2.13,0.00,0.0000,0.00,0.00
2.12,2.12,1.00,2.25,0.00,0.0000,0.00,0.00
2.18,2.18,1.00,2.38,0.00,0.0000,0.00,0.00
2.24,2.24,-1.00,2.50,0.00,0.0000,0.00,0.00
2.29,2.18,-1.00,2.62,0.00,0.0000,0.00,0.00
2.35,2.12,-1.00,2.75,0.00,0.0000,0.00,0.00
2.41,2.06,-1.00,2.87,0.00,0.0000,0.00,0.00
2.47,2.00,-1.00,3.00,0.00,0.0000,0.00,0.00
2.54,1.94,-1.00,3.13,0.00,0.0000,0.00,0.00
2.57,1.90,-1.00,3.19,0.00,0.0000,0.00,0.00
2.60,1.87,-1.00,3.25,0.00,0.0000,0.00,0.00
2.64,1.83,-1.00,3.32,0.00,0.0000,0.00,0.00
2.67,1.80,-1.00,3.38,0.00,0.0000,0.00,0.00
2.74,1.73,-1.00,3.51,0.00,0.0000,0.00,0.00
2.82,1.65,-1.00,3.63,0.00,0.0000,0.00,0.00
2.90,1.58,-1.00,3.76,0.00,0.0000,0.00,0.00
2.98,1.50,-1.00,3.88,0.00,0.0000,0.00,0.00
3.06,1.41,-1.00,4.00,0.00,0.0000,0.00,0.00
3.14,1.33,-1.00,4.12,0.00,0.0000,0.00,0.00
3.23,1.24,-1.00,4.23,0.00,0.0000,0.00,0.00
3.33,1.14,-1.00,4.35,0.00,0.0000,0.00,0.00
3.44,1.03,-1.00,4.47,0.00,0.0000,0.00,0.00
3.57,0.90,-1.00,4.59,0.00,0.0000,0.00,0.00
3.64,0.83,-1.00,4.65,0.00,0.0000,0.00,0.00
3.72,0.75,-1.00,4.72,0.00,0.0000,0.00,0.00
3.82,0.65,-1.00,4.79,0.00,0.0000,0.00,0.00
3.93,0.54,-1.00,4.86,0.00,0.0000,0.00,0.00
4.09,0.38,-1.00,4.93,0.00,0.0000,0.00,0.00
4.47,0.00,-1.00,5.00,0.00,0.0000,0.00,0.00
