Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   1.00 (m/s/s),   X:  0.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.38 (s),   Velocity: 0.38 (m/s),   Accel:   1.00 (m/s/s),   X:  0.07 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.54 (s),   Velocity: 0.54 (m/s),   Accel:   1.00 (m/s/s),   X:  0.14 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.65 (s),   Velocity: 0.65 (m/s),   Accel:   1.00 (m/s/s),   X:  0.21 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.75 (s),   Velocity: 0.75 (m/s),   Accel:   1.00 (m/s/s),   X:  0.28 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.83 (s),   Velocity: 0.83 (m/s),   Accel:   1.00 (m/s/s),   X:  0.35 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 0.90 (s),   Velocity: 0.90 (m/s),   Accel:   1.00 (m/s/s),   X:  0.41 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.03 (s),   Velocity: 1.03 (m/s),   Accel:   1.00 (m/s/s),   X:  0.53 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.14 (s),   Velocity: 1.14 (m/s),   Accel:   1.00 (m/s/s),   X:  0.65 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.24 (s),   Velocity: 1.24 (m/s),   Accel:   1.00 (m/s/s),   X:  0.77 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.33 (s),   Velocity: 1.33 (m/s),   Accel:   1.00 (m/s/s),   X:  0.88 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.41 (s),   Velocity: 1.41 (m/s),   Accel:   1.00 (m/s/s),   X:  1.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.50 (s),   Velocity: 1.50 (m/s),   Accel:   1.00 (m/s/s),   X:  1.12 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.58 (s),   Velocity: 1.58 (m/s),   Accel:   1.00 (m/s/s),   X:  1.24 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.65 (s),   Velocity: 1.65 (m/s),   Accel:   1.00 (m/s/s),   X:  1.37 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.73 (s),   Velocity: 1.73 (m/s),   Accel:   1.00 (m/s/s),   X:  1.49 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.80 (s),   Velocity: 1.80 (m/s),   Accel:   1.00 (m/s/s),   X:  1.62 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.83 (s),   Velocity: 1.83 (m/s),   Accel:   1.00 (m/s/s),   X:  1.68 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.87 (s),   Velocity: 1.87 (m/s),   Accel:   1.00 (m/s/s),   X:  1.75 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.90 (s),   Velocity: 1.90 (m/s),   Accel:   1.00 (m/s/s),   X:  1.81 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 1.94 (s),   Velocity: 1.94 (m/s),   Accel:   1.00 (m/s/s),   X:  1.87 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 2.00 (s),   Velocity: 2.00 (m/s),   Accel:   1.00 (m/s/s),   X:  2.00 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 2.06 (s),   Velocity: 2.06 (m/s),   Accel:   1.00 (m/s/s),   X:  2.13 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 2.12 (s),   Velocity: 2.12 (m/s),   Accel:   1.00 (m/s/s),   X:  2.25 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
Time: 2.18 (s),   Velocity: 2.18 (m/s),   Accel:   1.00 (m/s/s),   X:  2.38 (m),   Y:  0.00 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.00 (rads/m)
