Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
,,,,,,,
0,0,3,0.38,2.54,0,0,0.03
0.22,0.65,3,0.45,2.54,0.0016,0.09,0.02
0.31,0.92,3,0.52,2.54,0.0024,0.14,0.01
0.37,1.12,3,0.59,2.54,0.0024,0.14,-0.01
0.43,1.29,3,0.66,2.54,0.0014,0.08,-0.02
0.48,1.44,3,0.73,2.54,-0.0005,-0.03,-0.04
0.52,1.57,3,0.79,2.54,-0.0033,-0.19,-0.05
0.56,1.69,3,0.86,2.54,-0.0072,-0.41,-0.07
0.6,1.8,3,0.92,2.54,-0.0121,-0.69,-0.09
0.67,2,3,1.05,2.54,-0.0253,-1.45,-0.13
0.72,2.17,3,1.17,2.53,-0.0431,-2.47,-0.17
0.78,2.33,3,1.29,2.53,-0.0657,-3.76,-0.21
0.83,2.48,3,1.4,2.52,-0.0931,-5.34,-0.26
0.87,2.61,3,1.52,2.51,-0.1253,-7.18,-0.3
0.91,2.74,3,1.63,2.49,-0.1621,-9.29,-0.34
0.95,2.86,3,1.74,2.47,-0.203,-11.63,-0.38
0.99,2.98,3,1.85,2.44,-0.2475,-14.18,-0.41
1.03,3.09,3,1.96,2.41,-0.2948,-16.89,-0.43
1.07,3.2,3,2.07,2.38,-0.344,-19.71,-0.43
1.1,3.31,3,2.18,2.33,-0.3943,-22.59,-0.43
1.14,3.41,3,2.29,2.29,-0.4446,-25.47,-0.41
1.17,3.52,-2.69,2.4,2.23,-0.4889,-28.01,-0.31
1.21,3.42,-3,2.51,2.17,-0.523,-29.97,-0.23
1.23,3.36,-3,2.56,2.14,-0.5367,-30.75,-0.2
1.25,3.31,-3,2.62,2.1,-0.5483,-31.42,-0.16
1.27,3.25,-3,2.67,2.07,-0.5579,-31.97,-0.13
1.29,3.19,-3,2.73,2.04,-0.5657,-32.41,-0.11
1.31,3.13,-3,2.78,2,-0.5715,-32.75,-0.08
1.33,3.06,-3,2.83,1.97,-0.5756,-32.98,-0.05
1.35,3,-3,2.89,1.93,-0.5779,-33.11,-0.02
1.37,2.94,-3,2.94,1.9,-0.5783,-33.13,0.01
1.41,2.81,-3,3.04,1.83,-0.5734,-32.85,0.07
1.46,2.67,-3,3.15,1.76,-0.5603,-32.1,0.15
1.5,2.54,-3,3.25,1.7,-0.5374,-30.79,0.25
1.55,2.41,-3,3.34,1.65,-0.5027,-28.8,0.39
1.59,2.28,-3,3.43,1.6,-0.4526,-25.93,0.6
1.63,2.15,-3,3.52,1.56,-0.3818,-21.87,0.92
1.65,2.09,-3,3.56,1.55,-0.3363,-19.27,1.14
1.68,2.02,-3,3.6,1.53,-0.2824,-16.18,1.43
1.7,1.96,-3,3.64,1.52,-0.2187,-12.53,1.78
1.71,1.9,-3,3.68,1.52,-0.1434,-8.21,2.21
1.72,1.88,-3,3.69,1.51,-0.1009,-5.78,2.46
1.73,1.85,-3,3.71,1.51,-0.0549,-3.14,2.72
1.74,1.82,-3,3.73,1.51,-0.0053,-0.3,3
1.75,1.79,-3,3.75,1.51,0.048,2.75,3.29
1.76,1.76,-3,3.76,1.51,0.1051,6.02,3.59
1.77,1.73,-3,3.78,1.52,0.1658,9.5,3.87
1.78,1.71,-3,3.79,1.52,0.2299,13.17,4.13
1.79,1.68,-0.5,3.81,1.52,0.2971,17.02,4.36
1.8,1.67,1.3,3.82,1.53,0.3653,20.93,4.33
1.81,1.69,3,3.84,1.54,0.4324,24.78,4.24
1.82,1.71,3,3.85,1.54,0.4978,28.52,4.1
1.83,1.74,3,3.87,1.55,0.5609,32.14,3.92
1.84,1.77,3,3.88,1.56,0.6214,35.61,3.71
1.85,1.8,3,3.89,1.57,0.6791,38.91,3.48
1.85,1.82,3,3.91,1.58,0.7337,42.04,3.23
1.86,1.85,3,3.92,1.59,0.7853,44.99,2.99
1.87,1.88,3,3.93,1.6,0.8336,47.76,2.75
1.88,1.9,3,3.94,1.62,0.879,50.36,2.52
1.9,1.96,3,3.96,1.64,0.9608,55.05,2.11
1.92,2.01,3,3.98,1.68,1.0318,59.12,1.75
1.94,2.07,3,4,1.71,1.0934,62.65,1.46
1.96,2.13,3,4.02,1.74,1.1468,65.71,1.22
1.98,2.19,3,4.03,1.78,1.1932,68.37,1.02
2.01,2.3,3,4.06,1.87,1.2689,72.7,0.73
2.05,2.42,3,4.09,1.95,1.327,76.03,0.54
2.09,2.54,3,4.11,2.05,1.3718,78.6,0.4
2.13,2.65,3,4.13,2.15,1.4066,80.59,0.3
2.17,2.76,3,4.14,2.25,1.4334,82.13,0.23
2.2,2.87,3,4.15,2.35,1.4533,83.27,0.17
2.24,2.97,3,4.17,2.45,1.4673,84.07,0.11
2.27,3.07,3,4.17,2.54,1.4756,84.55,0.06
2.3,3.16,-0.05,4.18,2.63,1.4779,84.68,-0.01
2.33,3.16,-3,4.19,2.72,1.4732,84.41,-0.1
2.35,3.08,-3,4.2,2.8,1.4594,83.62,-0.26
2.38,3.01,-3,4.21,2.87,1.4387,82.43,-0.33
2.4,2.95,-3,4.22,2.93,1.4149,81.07,-0.43
2.43,2.84,-3,4.24,3.04,1.3575,77.78,-0.7
2.46,2.75,-3,4.26,3.12,1.2869,73.74,-1.06
2.49,2.68,-3,4.28,3.18,1.2101,69.33,-1.3
2.51,2.62,-3,4.3,3.22,1.1476,65.75,-0.93
2.52,2.57,-3,4.32,3.27,1.1311,64.81,0.35
2.54,2.52,-3,4.33,3.31,1.1786,67.53,1.7
2.55,2.49,-3,4.34,3.33,1.2218,70,2
2.56,2.46,-3,4.35,3.35,1.2717,72.86,2.01
2.58,2.39,-3,4.36,3.4,1.3363,76.56,0.55
2.61,2.31,-3,4.38,3.46,1.3454,77.08,-0.19
2.64,2.22,-3,4.39,3.53,1.3138,75.28,-0.74
2.67,2.13,-3,4.41,3.6,1.2442,71.29,-1.29
2.69,2.08,-3,4.43,3.63,1.1939,68.4,-1.62
2.7,2.03,-3,4.44,3.66,1.1319,64.85,-1.98
2.72,1.98,-3,4.45,3.69,1.0572,60.58,-2.39
2.73,1.95,-3,4.46,3.71,1.0148,58.14,-2.61
2.74,1.93,-3,4.47,3.72,0.9688,55.51,-2.83
2.75,1.9,-3,4.48,3.73,0.9193,52.67,-3.05
2.76,1.87,-3,4.49,3.75,0.8663,49.63,-3.27
2.76,1.85,-3,4.5,3.76,0.8098,46.4,-3.46
2.77,1.82,-3,4.52,3.77,0.7501,42.98,-3.64
2.78,1.79,-2.29,4.53,3.78,0.6876,39.4,-3.77
2.79,1.77,-0.47,4.54,3.79,0.6227,35.68,-3.86
2.8,1.76,1.4,4.56,3.8,0.5559,31.85,-3.9
2.81,1.78,3,4.57,3.81,0.4879,27.96,-3.87
2.82,1.81,3,4.59,3.82,0.4222,24.19,-3.5
2.83,1.84,3,4.6,3.82,0.3618,20.73,-3.12
2.84,1.87,3,4.62,3.83,0.3067,17.57,-2.76
2.85,1.9,3,4.64,3.84,0.2567,14.71,-2.43
2.87,1.96,3,4.68,3.84,0.1709,9.79,-1.85
2.9,2.03,3,4.72,3.85,0.1018,5.83,-1.4
2.92,2.09,3,4.77,3.85,0.0467,2.67,-1.05
2.94,2.16,3,4.82,3.85,0.0032,0.18,-0.78
2.99,2.3,3,4.92,3.85,-0.0564,-3.23,-0.41
3.03,2.44,3,5.03,3.84,-0.0882,-5.05,-0.18
3.08,2.58,3,5.15,3.83,-0.0986,-5.65,-0.01
3.13,2.72,3,5.27,3.82,-0.0914,-5.24,0.12
3.15,2.79,3,5.34,3.81,-0.0817,-4.68,0.18
3.17,2.86,3,5.4,3.81,-0.0681,-3.9,0.24
3.2,2.93,3,5.47,3.81,-0.0532,-3.05,0.22
3.22,2.99,3,5.53,3.8,-0.0396,-2.27,0.19
3.24,3.06,3,5.6,3.8,-0.0275,-1.58,0.17
3.26,3.13,3,5.67,3.8,-0.0169,-0.97,0.14
3.28,3.19,3,5.74,3.8,-0.0078,-0.45,0.12
3.31,3.26,3,5.81,3.8,-0.0002,-0.01,0.09
3.33,3.33,3,5.88,3.8,0.0059,0.34,0.07
3.35,3.4,3,5.96,3.8,0.0105,0.6,0.05
3.38,3.47,3,6.04,3.8,0.0139,0.8,0.03
3.4,3.54,3,6.12,3.8,0.0161,0.92,0.02
3.42,3.61,3,6.21,3.8,0.0172,0.98,0.01
3.45,3.68,3,6.3,3.8,0.0173,0.99,0
3.47,3.76,3,6.39,3.81,0.0165,0.95,-0.01
3.5,3.84,-1.62,6.49,3.81,0.015,0.86,-0.02
3.53,3.79,-3,6.59,3.81,0.0128,0.73,-0.02
3.55,3.71,-3,6.7,3.81,0.0101,0.58,-0.03
3.59,3.62,-3,6.81,3.81,0.0074,0.42,-0.02
3.62,3.52,-3,6.93,3.81,0.0051,0.29,-0.02
3.65,3.41,-3,7.05,3.81,0.0032,0.18,-0.01
3.69,3.3,-3,7.17,3.81,0.0016,0.09,-0.01
3.71,3.24,-3,7.24,3.81,0.001,0.05,-0.01
3.73,3.18,-3,7.31,3.81,0.0004,0.02,-0.01
3.75,3.12,-3,7.37,3.81,-0.0002,-0.01,-0.01
3.77,3.05,-3,7.44,3.81,-0.0006,-0.04,-0.01
3.8,2.98,-3,7.51,3.81,-0.001,-0.06,-0.01
3.82,2.91,-3,7.58,3.81,-0.0014,-0.08,0
3.84,2.84,-3,7.65,3.81,-0.0017,-0.1,0
3.87,2.76,-3,7.72,3.81,-0.0019,-0.11,0
3.9,2.68,-3,7.79,3.81,-0.0021,-0.12,0
3.92,2.6,-3,7.87,3.81,-0.0022,-0.13,0
3.95,2.51,-3,7.94,3.81,-0.0023,-0.13,0
3.98,2.42,-3,8.02,3.81,-0.0024,-0.14,0
4.02,2.32,-3,8.09,3.81,-0.0024,-0.14,0
4.05,2.22,-3,8.17,3.81,-0.0024,-0.13,0
4.09,2.11,-3,8.25,3.81,-0.0023,-0.13,0
4.13,1.99,-3,8.33,3.81,-0.0022,-0.12,0
4.17,1.87,-3,8.41,3.81,-0.002,-0.12,0
4.21,1.74,-3,8.49,3.81,-0.0018,-0.1,0
4.26,1.59,-3,8.57,3.81,-0.0016,-0.09,0
4.32,1.42,-3,8.65,3.81,-0.0014,-0.08,0
4.38,1.24,-3,8.74,3.81,-0.0011,-0.06,0
4.45,1.01,-3,8.82,3.81,-0.0007,-0.04,0
4.55,0.72,-3,8.91,3.81,-0.0004,-0.02,0
4.79,0,-3,8.99,3.81,0,0,0
