Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   3.00 (m/s/s),   X:  0.38 (m),   Y:  2.54 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.03 (rads/m)
Time: 0.22 (s),   Velocity: 0.65 (m/s),   Accel:   3.00 (m/s/s),   X:  0.45 (m),   Y:  2.54 (m),   Rot:  0.0016 (rads),   Rot:    0.09 (deg),   Curve:    0.02 (rads/m)
Time: 0.31 (s),   Velocity: 0.92 (m/s),   Accel:   3.00 (m/s/s),   X:  0.52 (m),   Y:  2.54 (m),   Rot:  0.0024 (rads),   Rot:    0.14 (deg),   Curve:    0.01 (rads/m)
Time: 0.37 (s),   Velocity: 1.12 (m/s),   Accel:   3.00 (m/s/s),   X:  0.59 (m),   Y:  2.54 (m),   Rot:  0.0024 (rads),   Rot:    0.14 (deg),   Curve:   -0.01 (rads/m)
Time: 0.43 (s),   Velocity: 1.29 (m/s),   Accel:   3.00 (m/s/s),   X:  0.66 (m),   Y:  2.54 (m),   Rot:  0.0014 (rads),   Rot:    0.08 (deg),   Curve:   -0.02 (rads/m)
Time: 0.48 (s),   Velocity: 1.44 (m/s),   Accel:   3.00 (m/s/s),   X:  0.73 (m),   Y:  2.54 (m),   Rot: -0.0005 (rads),   Rot:   -0.03 (deg),   Curve:   -0.04 (rads/m)
Time: 0.52 (s),   Velocity: 1.57 (m/s),   Accel:   3.00 (m/s/s),   X:  0.79 (m),   Y:  2.54 (m),   Rot: -0.0033 (rads),   Rot:   -0.19 (deg),   Curve:   -0.05 (rads/m)
Time: 0.56 (s),   Velocity: 1.69 (m/s),   Accel:   3.00 (m/s/s),   X:  0.86 (m),   Y:  2.54 (m),   Rot: -0.0072 (rads),   Rot:   -0.41 (deg),   Curve:   -0.07 (rads/m)
Time: 0.60 (s),   Velocity: 1.80 (m/s),   Accel:   3.00 (m/s/s),   X:  0.92 (m),   Y:  2.54 (m),   Rot: -0.0121 (rads),   Rot:   -0.69 (deg),   Curve:   -0.09 (rads/m)
Time: 0.67 (s),   Velocity: 2.00 (m/s),   Accel:   3.00 (m/s/s),   X:  1.05 (m),   Y:  2.54 (m),   Rot: -0.0253 (rads),   Rot:   -1.45 (deg),   Curve:   -0.13 (rads/m)
Time: 0.72 (s),   Velocity: 2.17 (m/s),   Accel:   3.00 (m/s/s),   X:  1.17 (m),   Y:  2.53 (m),   Rot: -0.0431 (rads),   Rot:   -2.47 (deg),   Curve:   -0.17 (rads/m)
