Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,3.00,0.38,3.56,0.0000,0.00,0.01
0.22,0.66,3.00,0.45,3.56,0.0001,0.00,-0.01
0.31,0.93,3.00,0.53,3.56,-0.0013,-0.07,-0.03
0.38,1.14,3.00,0.60,3.56,-0.0040,-0.23,-0.05
0.44,1.31,3.00,0.67,3.56,-0.0083,-0.48,-0.07
0.49,1.46,3.00,0.73,3.55,-0.0142,-0.81,-0.10
0.53,1.59,3.00,0.80,3.55,-0.0217,-1.24,-0.13
0.57,1.71,3.00,0.87,3.55,-0.0309,-1.77,-0.15
0.61,1.82,3.00,0.93,3.55,-0.0420,-2.40,-0.19
0.64,1.92,3.00,1.00,3.55,-0.0549,-3.14,-0.22
0.67,2.02,3.00,1.06,3.54,-0.0697,-3.99,-0.25
0.73,2.20,3.00,1.18,3.53,-0.1051,-6.02,-0.32
0.79,2.36,3.00,1.30,3.52,-0.1485,-8.51,-0.40
0.83,2.50,3.00,1.42,3.50,-0.1997,-11.44,-0.47
0.88,2.64,3.00,1.54,3.47,-0.2582,-14.79,-0.53
0.92,2.77,3.00,1.65,3.44,-0.3230,-18.51,-0.58
0.96,2.89,3.00,1.76,3.39,-0.3927,-22.50,-0.61
1.00,3.01,3.00,1.86,3.35,-0.4656,-26.67,-0.61
1.04,3.13,3.00,1.97,3.29,-0.5395,-30.91,-0.60
1.08,3.25,3.00,2.08,3.22,-0.6125,-35.09,-0.56
1.10,3.31,3.00,2.13,3.18,-0.6481,-37.13,-0.54
1.12,3.37,3.00,2.18,3.14,-0.6829,-39.12,-0.51
1.14,3.43,3.00,2.23,3.09,-0.7166,-41.06,-0.48
1.16,3.49,3.00,2.29,3.05,-0.7492,-42.92,-0.45
1.18,3.55,3.00,2.34,3.00,-0.7789,-44.63,-0.38
1.20,3.61,3.00,2.39,2.95,-0.8045,-46.10,-0.32
1.23,3.68,3.00,2.44,2.89,-0.8266,-47.36,-0.27
1.25,3.74,0.70,2.49,2.83,-0.8454,-48.44,-0.22
