Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   3.00 (m/s/s),   X:  0.38 (m),   Y:  3.56 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.01 (rads/m)
Time: 0.22 (s),   Velocity: 0.66 (m/s),   Accel:   3.00 (m/s/s),   X:  0.45 (m),   Y:  3.56 (m),   Rot:  0.0001 (rads),   Rot:    0.00 (deg),   Curve:   -0.01 (rads/m)
Time: 0.31 (s),   Velocity: 0.93 (m/s),   Accel:   3.00 (m/s/s),   X:  0.53 (m),   Y:  3.56 (m),   Rot: -0.0013 (rads),   Rot:   -0.07 (deg),   Curve:   -0.03 (rads/m)
Time: 0.38 (s),   Velocity: 1.14 (m/s),   Accel:   3.00 (m/s/s),   X:  0.60 (m),   Y:  3.56 (m),   Rot: -0.0040 (rads),   Rot:   -0.23 (deg),   Curve:   -0.05 (rads/m)
Time: 0.44 (s),   Velocity: 1.31 (m/s),   Accel:   3.00 (m/s/s),   X:  0.67 (m),   Y:  3.56 (m),   Rot: -0.0083 (rads),   Rot:   -0.48 (deg),   Curve:   -0.07 (rads/m)
Time: 0.49 (s),   Velocity: 1.46 (m/s),   Accel:   3.00 (m/s/s),   X:  0.73 (m),   Y:  3.55 (m),   Rot: -0.0142 (rads),   Rot:   -0.81 (deg),   Curve:   -0.10 (rads/m)
Time: 0.53 (s),   Velocity: 1.59 (m/s),   Accel:   3.00 (m/s/s),   X:  0.80 (m),   Y:  3.55 (m),   Rot: -0.0217 (rads),   Rot:   -1.24 (deg),   Curve:   -0.13 (rads/m)
Time: 0.57 (s),   Velocity: 1.71 (m/s),   Accel:   3.00 (m/s/s),   X:  0.87 (m),   Y:  3.55 (m),   Rot: -0.0309 (rads),   Rot:   -1.77 (deg),   Curve:   -0.15 (rads/m)
Time: 0.61 (s),   Velocity: 1.82 (m/s),   Accel:   3.00 (m/s/s),   X:  0.93 (m),   Y:  3.55 (m),   Rot: -0.0420 (rads),   Rot:   -2.40 (deg),   Curve:   -0.19 (rads/m)
Time: 0.64 (s),   Velocity: 1.92 (m/s),   Accel:   3.00 (m/s/s),   X:  1.00 (m),   Y:  3.55 (m),   Rot: -0.0549 (rads),   Rot:   -3.14 (deg),   Curve:   -0.22 (rads/m)
Time: 0.67 (s),   Velocity: 2.02 (m/s),   Accel:   3.00 (m/s/s),   X:  1.06 (m),   Y:  3.54 (m),   Rot: -0.0697 (rads),   Rot:   -3.99 (deg),   Curve:   -0.25 (rads/m)
Time: 0.73 (s),   Velocity: 2.20 (m/s),   Accel:   3.00 (m/s/s),   X:  1.18 (m),   Y:  3.53 (m),   Rot: -0.1051 (rads),   Rot:   -6.02 (deg),   Curve:   -0.32 (rads/m)
Time: 0.79 (s),   Velocity: 2.36 (m/s),   Accel:   3.00 (m/s/s),   X:  1.30 (m),   Y:  3.52 (m),   Rot: -0.1485 (rads),   Rot:   -8.51 (deg),   Curve:   -0.40 (rads/m)
Time: 0.83 (s),   Velocity: 2.50 (m/s),   Accel:   3.00 (m/s/s),   X:  1.42 (m),   Y:  3.50 (m),   Rot: -0.1997 (rads),   Rot:  -11.44 (deg),   Curve:   -0.47 (rads/m)
Time: 0.88 (s),   Velocity: 2.64 (m/s),   Accel:   3.00 (m/s/s),   X:  1.54 (m),   Y:  3.47 (m),   Rot: -0.2582 (rads),   Rot:  -14.79 (deg),   Curve:   -0.53 (rads/m)
Time: 0.92 (s),   Velocity: 2.77 (m/s),   Accel:   3.00 (m/s/s),   X:  1.65 (m),   Y:  3.44 (m),   Rot: -0.3230 (rads),   Rot:  -18.51 (deg),   Curve:   -0.58 (rads/m)
Time: 0.96 (s),   Velocity: 2.89 (m/s),   Accel:   3.00 (m/s/s),   X:  1.76 (m),   Y:  3.39 (m),   Rot: -0.3927 (rads),   Rot:  -22.50 (deg),   Curve:   -0.61 (rads/m)
Time: 1.00 (s),   Velocity: 3.01 (m/s),   Accel:   3.00 (m/s/s),   X:  1.86 (m),   Y:  3.35 (m),   Rot: -0.4656 (rads),   Rot:  -26.67 (deg),   Curve:   -0.61 (rads/m)
Time: 1.04 (s),   Velocity: 3.13 (m/s),   Accel:   3.00 (m/s/s),   X:  1.97 (m),   Y:  3.29 (m),   Rot: -0.5395 (rads),   Rot:  -30.91 (deg),   Curve:   -0.60 (rads/m)
Time: 1.08 (s),   Velocity: 3.25 (m/s),   Accel:   3.00 (m/s/s),   X:  2.08 (m),   Y:  3.22 (m),   Rot: -0.6125 (rads),   Rot:  -35.09 (deg),   Curve:   -0.56 (rads/m)
Time: 1.10 (s),   Velocity: 3.31 (m/s),   Accel:   3.00 (m/s/s),   X:  2.13 (m),   Y:  3.18 (m),   Rot: -0.6481 (rads),   Rot:  -37.13 (deg),   Curve:   -0.54 (rads/m)
Time: 1.12 (s),   Velocity: 3.37 (m/s),   Accel:   3.00 (m/s/s),   X:  2.18 (m),   Y:  3.14 (m),   Rot: -0.6829 (rads),   Rot:  -39.12 (deg),   Curve:   -0.51 (rads/m)
