Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,1.00,1.02,0.76,0.0000,0.00,0.66
0.43,0.43,1.00,1.11,0.76,0.0647,3.71,0.73
0.60,0.60,1.00,1.20,0.77,0.1322,7.57,0.79
0.73,0.73,1.00,1.28,0.79,0.2016,11.55,0.84
0.84,0.84,1.00,1.36,0.81,0.2720,15.58,0.87
0.93,0.93,1.00,1.44,0.83,0.3421,19.60,0.88
1.01,1.01,1.00,1.51,0.86,0.4108,23.53,0.87
1.08,1.08,1.00,1.58,0.89,0.4769,27.32,0.84
1.15,1.15,1.00,1.65,0.93,0.5395,30.91,0.80
1.21,1.21,1.00,1.71,0.97,0.5976,34.24,0.74
1.27,1.27,1.00,1.77,1.02,0.6509,37.29,0.67
1.33,1.33,1.00,1.83,1.06,0.6987,40.03,0.59
1.39,1.39,1.00,1.89,1.11,0.7409,42.45,0.52
1.44,1.44,1.00,1.94,1.17,0.7775,44.55,0.44
1.50,1.50,1.00,2.00,1.22,0.8084,46.32,0.36
1.55,1.55,1.00,2.05,1.28,0.8339,47.78,0.29
1.60,1.60,1.00,2.10,1.34,0.8539,48.93,0.22
1.65,1.65,1.00,2.16,1.40,0.8687,49.77,0.15
1.69,1.69,1.00,2.21,1.46,0.8785,50.33,0.09
1.74,1.74,1.00,2.26,1.52,0.8833,50.61,0.03
1.79,1.79,1.00,2.31,1.58,0.8833,50.61,-0.03
1.83,1.83,1.00,2.36,1.65,0.8786,50.34,-0.08
1.88,1.88,1.00,2.42,1.71,0.8694,49.81,-0.14
1.92,1.92,1.00,2.47,1.77,0.8555,49.02,-0.19
1.96,1.96,1.00,2.52,1.84,0.8372,47.97,-0.24
2.01,2.01,1.00,2.58,1.90,0.8145,46.67,-0.29
2.05,2.05,1.00,2.64,1.96,0.7875,45.12,-0.34
2.09,2.09,1.00,2.70,2.02,0.7562,43.33,-0.39
2.13,2.13,1.00,2.77,2.08,0.7208,41.30,-0.43
2.17,2.17,1.00,2.83,2.13,0.6815,39.05,-0.47
2.21,2.21,1.00,2.90,2.19,0.6385,36.59,-0.51
2.25,2.25,1.00,2.97,2.24,0.5922,33.93,-0.54
2.29,2.29,1.00,3.05,2.29,0.5430,31.11,-0.56
2.33,2.33,1.00,3.13,2.33,0.4941,28.31,-0.51
2.37,2.37,1.00,3.21,2.37,0.4483,25.68,-0.47
2.41,2.41,1.00,3.30,2.41,0.4052,23.22,-0.44
2.45,2.45,1.00,3.38,2.45,0.3647,20.90,-0.41
2.49,2.49,1.00,3.48,2.48,0.3265,18.70,-0.38
2.53,2.53,1.00,3.57,2.51,0.2902,16.63,-0.35
2.57,2.57,1.00,3.67,2.54,0.2558,14.65,-0.33
2.61,2.61,1.00,3.77,2.56,0.2229,12.77,-0.32
2.64,2.64,1.00,3.87,2.58,0.1914,10.96,-0.30
2.68,2.68,1.00,3.97,2.60,0.1610,9.23,-0.29
2.72,2.72,1.00,4.07,2.62,0.1316,7.54,-0.28
2.76,2.76,1.00,4.17,2.63,0.1031,5.91,-0.27
2.80,2.80,1.00,4.28,2.64,0.0752,4.31,-0.26
2.84,2.84,1.00,4.39,2.64,0.0478,2.74,-0.26
2.87,2.87,1.00,4.49,2.65,0.0207,1.19,-0.25
2.91,2.91,1.00,4.60,2.65,-0.0062,-0.35,-0.25
2.94,2.94,1.00,4.70,2.65,-0.0330,-1.89,-0.25
2.98,2.98,1.00,4.81,2.64,-0.0599,-3.43,-0.26
3.02,3.02,1.00,4.91,2.63,-0.0871,-4.99,-0.26
3.05,3.05,1.00,5.02,2.62,-0.1146,-6.57,-0.27
3.08,3.08,1.00,5.12,2.61,-0.1428,-8.18,-0.28
3.12,3.12,1.00,5.22,2.59,-0.1717,-9.84,-0.29
3.15,3.15,1.00,5.32,2.58,-0.2015,-11.55,-0.30
3.18,3.18,1.00,5.41,2.55,-0.2325,-13.32,-0.32
