Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

Time: 0.00 (s),   Velocity: 0.00 (m/s),   Accel:   1.00 (m/s/s),   X:  1.02 (m),   Y:  0.76 (m),   Rot:  0.0000 (rads),   Rot:    0.00 (deg),   Curve:    0.66 (rads/m)
Time: 0.43 (s),   Velocity: 0.43 (m/s),   Accel:   1.00 (m/s/s),   X:  1.11 (m),   Y:  0.76 (m),   Rot:  0.0647 (rads),   Rot:    3.71 (deg),   Curve:    0.73 (rads/m)
Time: 0.60 (s),   Velocity: 0.60 (m/s),   Accel:   1.00 (m/s/s),   X:  1.20 (m),   Y:  0.77 (m),   Rot:  0.1322 (rads),   Rot:    7.57 (deg),   Curve:    0.79 (rads/m)
Time: 0.73 (s),   Velocity: 0.73 (m/s),   Accel:   1.00 (m/s/s),   X:  1.28 (m),   Y:  0.79 (m),   Rot:  0.2016 (rads),   Rot:   11.55 (deg),   Curve:    0.84 (rads/m)
Time: 0.84 (s),   Velocity: 0.84 (m/s),   Accel:   1.00 (m/s/s),   X:  1.36 (m),   Y:  0.81 (m),   Rot:  0.2720 (rads),   Rot:   15.58 (deg),   Curve:    0.87 (rads/m)
Time: 0.93 (s),   Velocity: 0.93 (m/s),   Accel:   1.00 (m/s/s),   X:  1.44 (m),   Y:  0.83 (m),   Rot:  0.3421 (rads),   Rot:   19.60 (deg),   Curve:    0.88 (rads/m)
Time: 1.01 (s),   Velocity: 1.01 (m/s),   Accel:   1.00 (m/s/s),   X:  1.51 (m),   Y:  0.86 (m),   Rot:  0.4108 (rads),   Rot:   23.53 (deg),   Curve:    0.87 (rads/m)
Time: 1.08 (s),   Velocity: 1.08 (m/s),   Accel:   1.00 (m/s/s),   X:  1.58 (m),   Y:  0.89 (m),   Rot:  0.4769 (rads),   Rot:   27.32 (deg),   Curve:    0.84 (rads/m)
Time: 1.15 (s),   Velocity: 1.15 (m/s),   Accel:   1.00 (m/s/s),   X:  1.65 (m),   Y:  0.93 (m),   Rot:  0.5395 (rads),   Rot:   30.91 (deg),   Curve:    0.80 (rads/m)
Time: 1.21 (s),   Velocity: 1.21 (m/s),   Accel:   1.00 (m/s/s),   X:  1.71 (m),   Y:  0.97 (m),   Rot:  0.5976 (rads),   Rot:   34.24 (deg),   Curve:    0.74 (rads/m)
Time: 1.27 (s),   Velocity: 1.27 (m/s),   Accel:   1.00 (m/s/s),   X:  1.77 (m),   Y:  1.02 (m),   Rot:  0.6509 (rads),   Rot:   37.29 (deg),   Curve:    0.67 (rads/m)
Time: 1.33 (s),   Velocity: 1.33 (m/s),   Accel:   1.00 (m/s/s),   X:  1.83 (m),   Y:  1.06 (m),   Rot:  0.6987 (rads),   Rot:   40.03 (deg),   Curve:    0.59 (rads/m)
Time: 1.39 (s),   Velocity: 1.39 (m/s),   Accel:   1.00 (m/s/s),   X:  1.89 (m),   Y:  1.11 (m),   Rot:  0.7409 (rads),   Rot:   42.45 (deg),   Curve:    0.52 (rads/m)
Time: 1.44 (s),   Velocity: 1.44 (m/s),   Accel:   1.00 (m/s/s),   X:  1.94 (m),   Y:  1.17 (m),   Rot:  0.7775 (rads),   Rot:   44.55 (deg),   Curve:    0.44 (rads/m)
Time: 1.50 (s),   Velocity: 1.50 (m/s),   Accel:   1.00 (m/s/s),   X:  2.00 (m),   Y:  1.22 (m),   Rot:  0.8084 (rads),   Rot:   46.32 (deg),   Curve:    0.36 (rads/m)
Time: 1.55 (s),   Velocity: 1.55 (m/s),   Accel:   1.00 (m/s/s),   X:  2.05 (m),   Y:  1.28 (m),   Rot:  0.8339 (rads),   Rot:   47.78 (deg),   Curve:    0.29 (rads/m)
Time: 1.60 (s),   Velocity: 1.60 (m/s),   Accel:   1.00 (m/s/s),   X:  2.10 (m),   Y:  1.34 (m),   Rot:  0.8539 (rads),   Rot:   48.93 (deg),   Curve:    0.22 (rads/m)
Time: 1.65 (s),   Velocity: 1.65 (m/s),   Accel:   1.00 (m/s/s),   X:  2.16 (m),   Y:  1.40 (m),   Rot:  0.8687 (rads),   Rot:   49.77 (deg),   Curve:    0.15 (rads/m)
Time: 1.69 (s),   Velocity: 1.69 (m/s),   Accel:   1.00 (m/s/s),   X:  2.21 (m),   Y:  1.46 (m),   Rot:  0.8785 (rads),   Rot:   50.33 (deg),   Curve:    0.09 (rads/m)
Time: 1.74 (s),   Velocity: 1.74 (m/s),   Accel:   1.00 (m/s/s),   X:  2.26 (m),   Y:  1.52 (m),   Rot:  0.8833 (rads),   Rot:   50.61 (deg),   Curve:    0.03 (rads/m)
Time: 1.79 (s),   Velocity: 1.79 (m/s),   Accel:   1.00 (m/s/s),   X:  2.31 (m),   Y:  1.58 (m),   Rot:  0.8833 (rads),   Rot:   50.61 (deg),   Curve:   -0.03 (rads/m)
Time: 1.83 (s),   Velocity: 1.83 (m/s),   Accel:   1.00 (m/s/s),   X:  2.36 (m),   Y:  1.65 (m),   Rot:  0.8786 (rads),   Rot:   50.34 (deg),   Curve:   -0.08 (rads/m)
Time: 1.88 (s),   Velocity: 1.88 (m/s),   Accel:   1.00 (m/s/s),   X:  2.42 (m),   Y:  1.71 (m),   Rot:  0.8694 (rads),   Rot:   49.81 (deg),   Curve:   -0.14 (rads/m)
Time: 1.92 (s),   Velocity: 1.92 (m/s),   Accel:   1.00 (m/s/s),   X:  2.47 (m),   Y:  1.77 (m),   Rot:  0.8555 (rads),   Rot:   49.02 (deg),   Curve:   -0.19 (rads/m)
Time: 1.96 (s),   Velocity: 1.96 (m/s),   Accel:   1.00 (m/s/s),   X:  2.52 (m),   Y:  1.84 (m),   Rot:  0.8372 (rads),   Rot:   47.97 (deg),   Curve:   -0.24 (rads/m)
Time: 2.01 (s),   Velocity: 2.01 (m/s),   Accel:   1.00 (m/s/s),   X:  2.58 (m),   Y:  1.90 (m),   Rot:  0.8145 (rads),   Rot:   46.67 (deg),   Curve:   -0.29 (rads/m)
Time: 2.05 (s),   Velocity: 2.05 (m/s),   Accel:   1.00 (m/s/s),   X:  2.64 (m),   Y:  1.96 (m),   Rot:  0.7875 (rads),   Rot:   45.12 (deg),   Curve:   -0.34 (rads/m)
Time: 2.09 (s),   Velocity: 2.09 (m/s),   Accel:   1.00 (m/s/s),   X:  2.70 (m),   Y:  2.02 (m),   Rot:  0.7562 (rads),   Rot:   43.33 (deg),   Curve:   -0.39 (rads/m)
Time: 2.13 (s),   Velocity: 2.13 (m/s),   Accel:   1.00 (m/s/s),   X:  2.77 (m),   Y:  2.08 (m),   Rot:  0.7208 (rads),   Rot:   41.30 (deg),   Curve:   -0.43 (rads/m)
